epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0466,1.52957,11.4159,1.56644,0.7505,0.61519,0.64805,0.36558,1.36859,5.90457,1.31448,0.000375,0.000375,0.000375
2,198.471,1.34349,4.22412,1.21553,0.8043,0.6816,0.67815,0.363,1.66408,3.28292,1.55614,0.000754951,0.000754951,0.000754951
3,290.323,1.37115,3.51686,1.22322,0.45942,0.46718,0.42862,0.23139,1.55964,6.04564,1.53284,0.00112723,0.00112723,0.00112723
4,363.556,1.30433,3.12931,1.15853,0.54576,0.66403,0.67072,0.31321,1.75915,4.53997,1.64422,0.00121287,0.00121287,0.00121287
5,441.222,1.29875,3.01912,1.16969,0.88434,0.68506,0.72151,0.37122,1.78398,3.94268,1.74382,0.0012005,0.0012005,0.0012005
6,529.541,1.29348,2.74071,1.18653,0.8781,0.70289,0.72127,0.46779,1.23438,2.382,1.19763,0.00118812,0.00118812,0.00118812
7,596.182,1.26247,2.67275,1.15794,0.85301,0.68401,0.71183,0.46201,1.20032,3.24061,1.18739,0.00117575,0.00117575,0.00117575
8,668.609,1.17847,2.5486,1.12652,0.89377,0.65162,0.72771,0.46319,1.27386,2.59882,1.23078,0.00116337,0.00116337,0.00116337
9,766.111,1.21106,2.52272,1.14161,0.83972,0.70628,0.7235,0.47049,1.29766,2.43867,1.22589,0.001151,0.001151,0.001151
10,838.012,1.21777,2.50438,1.14089,0.8987,0.63115,0.73264,0.4779,1.30116,2.24058,1.22723,0.00113863,0.00113863,0.00113863
11,909.012,1.20925,2.51718,1.1588,0.89105,0.68793,0.7337,0.49703,1.14128,1.94187,1.11534,0.00112625,0.00112625,0.00112625
12,993.171,1.21121,2.53935,1.1553,0.9096,0.71393,0.73104,0.50309,1.15174,1.95179,1.12914,0.00111388,0.00111388,0.00111388
13,1102.18,1.23126,2.51095,1.17225,0.92751,0.66827,0.7406,0.50336,1.15017,1.94222,1.13319,0.0011015,0.0011015,0.0011015
14,1205.36,1.17744,2.43135,1.14977,0.90915,0.69886,0.74925,0.51068,1.17085,1.8461,1.14117,0.00108913,0.00108913,0.00108913
15,1319.57,1.18922,2.24536,1.14527,0.91142,0.69222,0.73317,0.5063,1.1722,1.89751,1.13753,0.00107675,0.00107675,0.00107675
16,1431.4,1.19261,2.39335,1.14413,0.86767,0.6624,0.73076,0.4693,1.31966,2.30117,1.25304,0.00106437,0.00106437,0.00106437
17,1515.15,1.19244,2.38013,1.15285,0.88385,0.7102,0.72766,0.46918,1.25364,2.0506,1.19004,0.001052,0.001052,0.001052
18,1597.81,1.22682,2.37539,1.16139,0.8815,0.70814,0.72815,0.49131,1.1631,1.9347,1.12802,0.00103962,0.00103962,0.00103962
19,1682.19,1.19215,2.28089,1.14756,0.90404,0.69417,0.72747,0.50849,1.1246,1.80982,1.11044,0.00102725,0.00102725,0.00102725
20,1774.78,1.20664,2.21668,1.16411,0.89054,0.6937,0.71475,0.47676,1.26421,1.90018,1.17526,0.00101488,0.00101488,0.00101488
21,1845.29,1.1984,2.29018,1.16421,0.60229,0.75495,0.75819,0.50972,1.19272,1.8714,1.15642,0.0010025,0.0010025,0.0010025
22,1932.16,1.13965,2.16611,1.13761,0.92088,0.68374,0.80912,0.55726,1.15894,1.75761,1.12584,0.000990125,0.000990125,0.000990125
23,2004.16,1.18206,2.22806,1.16627,0.90637,0.69094,0.76266,0.50693,1.22938,1.8969,1.17723,0.00097775,0.00097775,0.00097775
24,2092.08,1.14122,2.21912,1.14067,0.89346,0.73034,0.73307,0.50508,1.12733,1.77224,1.12925,0.000965375,0.000965375,0.000965375
25,2163.2,1.16556,2.14217,1.14704,0.66422,0.78364,0.77021,0.53607,1.11439,1.73714,1.10654,0.000953,0.000953,0.000953
26,2237.3,1.1577,2.04631,1.13459,0.90218,0.69861,0.73249,0.51576,1.10005,1.6826,1.10181,0.000940625,0.000940625,0.000940625
27,2319.56,1.15875,2.15491,1.13133,0.9363,0.69501,0.77729,0.54347,1.10461,1.59661,1.09694,0.00092825,0.00092825,0.00092825
28,2423.03,1.15702,2.14428,1.12676,0.79081,0.74915,0.77318,0.53973,1.12598,1.72305,1.09906,0.000915875,0.000915875,0.000915875
29,2515.53,1.14171,2.04694,1.1265,0.65365,0.85187,0.79321,0.54506,1.14765,1.72377,1.12673,0.0009035,0.0009035,0.0009035
30,2595,1.12544,2.08789,1.12755,0.88476,0.71703,0.77324,0.52119,1.20361,1.95331,1.17079,0.000891125,0.000891125,0.000891125
31,2655.15,1.13879,2.14491,1.14212,0.68744,0.75604,0.75245,0.53061,1.12917,1.68188,1.11645,0.00087875,0.00087875,0.00087875
32,2743.62,1.11104,2.03227,1.1204,0.62355,0.7742,0.75132,0.52037,1.10704,1.68149,1.09663,0.000866375,0.000866375,0.000866375
33,2845.49,1.15912,2.03673,1.14962,0.83231,0.73934,0.75473,0.51109,1.1384,1.83729,1.12585,0.000854,0.000854,0.000854
34,2932.75,1.2018,2.31242,1.16179,0.85532,0.74444,0.76943,0.52696,1.14918,1.80849,1.13427,0.000841625,0.000841625,0.000841625
35,3020.64,1.15564,2.01204,1.13321,0.83741,0.75265,0.76025,0.53143,1.16393,1.77491,1.11625,0.00082925,0.00082925,0.00082925
36,3104.35,1.15598,2.19971,1.14499,0.75485,0.74637,0.75796,0.51947,1.15444,1.81682,1.13614,0.000816875,0.000816875,0.000816875
37,3192.45,1.12695,2.06093,1.11881,0.83919,0.77444,0.79888,0.56681,1.08841,1.65904,1.09453,0.0008045,0.0008045,0.0008045
38,3276.25,1.0968,1.93395,1.11043,0.86582,0.73566,0.77671,0.53758,1.13703,1.71601,1.12296,0.000792125,0.000792125,0.000792125
