epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1241,1.45116,6.876,1.4163,0.59578,0.7184,0.65969,0.40402,1.30238,3.1912,1.32238,0.000375,0.000375,0.000375
2,26.1843,1.32546,3.46454,1.30289,0.90399,0.66901,0.71773,0.44765,1.29664,2.61577,1.3063,0.000754951,0.000754951,0.000754951
3,38.041,1.354,3.21754,1.32832,0.80505,0.68433,0.67765,0.38265,1.41222,3.24941,1.48096,0.00112723,0.00112723,0.00112723
4,50.1633,1.30306,2.91287,1.23226,0.87626,0.6701,0.71696,0.42558,1.41059,3.03032,1.4097,0.00121287,0.00121287,0.00121287
5,62.2013,1.25426,2.75253,1.22656,0.89349,0.66854,0.73064,0.45491,1.27747,2.78819,1.32641,0.0012005,0.0012005,0.0012005
6,74.6354,1.21423,2.72536,1.23842,0.62585,0.84532,0.7581,0.49526,1.20645,2.4034,1.24936,0.00118812,0.00118812,0.00118812
7,86.6993,1.2232,2.50236,1.21485,0.80451,0.7139,0.75087,0.48582,1.20921,2.05054,1.26335,0.00117575,0.00117575,0.00117575
8,98.4326,1.18708,2.46832,1.20184,0.68707,0.77876,0.71475,0.4772,1.22394,2.20493,1.29168,0.00116337,0.00116337,0.00116337
9,110.85,1.19708,2.35505,1.21183,0.78704,0.79148,0.8315,0.54469,1.21579,2.12231,1.28579,0.001151,0.001151,0.001151
10,122.866,1.19205,2.31174,1.21301,0.75851,0.80983,0.79598,0.52794,1.19419,2.06091,1.26569,0.00113863,0.00113863,0.00113863
11,134.819,1.17534,2.39251,1.21778,0.73955,0.83457,0.81828,0.54277,1.11972,2.04443,1.20288,0.00112625,0.00112625,0.00112625
12,147.12,1.1893,2.3345,1.21637,0.77682,0.84493,0.81085,0.5305,1.14114,1.98039,1.23919,0.00111388,0.00111388,0.00111388
13,159.691,1.21276,2.3612,1.23586,0.79512,0.79381,0.8522,0.55469,1.14349,2.11131,1.1919,0.0011015,0.0011015,0.0011015
14,171.966,1.16321,2.21478,1.19327,0.7195,0.84036,0.81433,0.55397,1.18264,1.95213,1.23329,0.00108913,0.00108913,0.00108913
15,184.483,1.18242,2.15203,1.19868,0.86704,0.77657,0.84982,0.56941,1.16984,1.9277,1.22054,0.00107675,0.00107675,0.00107675
16,196.286,1.18289,2.41385,1.18916,0.74294,0.84991,0.86181,0.54419,1.2692,2.131,1.31674,0.00106437,0.00106437,0.00106437
17,208.792,1.16631,2.21328,1.19374,0.84528,0.81124,0.87448,0.54664,1.37631,2.08181,1.36251,0.001052,0.001052,0.001052
18,220.838,1.20851,2.2571,1.23276,0.74112,0.85551,0.82582,0.54472,1.36886,2.09275,1.30285,0.00103962,0.00103962,0.00103962
19,232.996,1.1788,2.20677,1.21256,0.81132,0.75901,0.87132,0.59055,1.18826,1.96888,1.23097,0.00102725,0.00102725,0.00102725
20,245.227,1.16632,2.12974,1.18991,0.85012,0.81023,0.85216,0.57826,1.15459,1.90567,1.20029,0.00101488,0.00101488,0.00101488
21,257.911,1.14516,2.05333,1.17578,0.8103,0.88152,0.87642,0.54592,1.33176,1.9937,1.31111,0.0010025,0.0010025,0.0010025
22,269.961,1.11975,1.89613,1.16185,0.85417,0.84177,0.9046,0.59612,1.21922,1.69506,1.26421,0.000990125,0.000990125,0.000990125
23,282.104,1.16257,2.01227,1.20577,0.83249,0.88582,0.9335,0.63224,1.16604,1.78537,1.21098,0.00097775,0.00097775,0.00097775
24,294.633,1.14401,2.0388,1.18234,0.89066,0.84942,0.91644,0.61606,1.15361,1.74917,1.19989,0.000965375,0.000965375,0.000965375
25,306.884,1.1499,1.99126,1.18624,0.76367,0.83979,0.8746,0.58682,1.13295,1.77287,1.17723,0.000953,0.000953,0.000953
26,318.616,1.13962,2.01596,1.17548,0.87175,0.86516,0.90522,0.61779,1.1235,1.70584,1.18983,0.000940625,0.000940625,0.000940625
27,330.694,1.12837,1.95577,1.16232,0.88416,0.84433,0.90178,0.62312,1.14061,1.72782,1.18483,0.00092825,0.00092825,0.00092825
28,343.02,1.11805,1.98603,1.16016,0.87967,0.88286,0.91187,0.63656,1.10795,1.71584,1.15328,0.000915875,0.000915875,0.000915875
29,355.795,1.10322,1.8699,1.15738,0.78865,0.88084,0.87888,0.61229,1.1313,1.76425,1.18651,0.0009035,0.0009035,0.0009035
30,368.169,1.11495,1.97405,1.1622,0.8348,0.89086,0.89503,0.60281,1.14758,1.7486,1.20474,0.000891125,0.000891125,0.000891125
31,380.91,1.15207,2.02072,1.18089,0.88611,0.87639,0.91237,0.61789,1.12648,1.72792,1.18573,0.00087875,0.00087875,0.00087875
32,392.963,1.1372,1.89939,1.16966,0.84588,0.8473,0.89661,0.57539,1.2492,1.88531,1.29061,0.000866375,0.000866375,0.000866375
33,405.599,1.12007,1.87515,1.17173,0.81044,0.82897,0.85908,0.58189,1.11205,1.80102,1.17051,0.000854,0.000854,0.000854
34,417.098,1.12464,2.0214,1.1653,0.82205,0.87537,0.90665,0.62025,1.08633,1.62848,1.15575,0.000841625,0.000841625,0.000841625
35,429.206,1.12004,1.85719,1.17671,0.81556,0.86818,0.89645,0.61243,1.13107,1.78489,1.19669,0.00082925,0.00082925,0.00082925
36,441.336,1.13255,1.97197,1.18772,0.84889,0.81296,0.88271,0.57888,1.24778,1.81678,1.274,0.000816875,0.000816875,0.000816875
37,453.821,1.09989,1.779,1.14567,0.88033,0.80578,0.88627,0.61537,1.10804,1.69443,1.16232,0.0008045,0.0008045,0.0008045
38,466.138,1.08817,1.74119,1.14501,0.83146,0.82857,0.86892,0.60113,1.10792,1.68073,1.16322,0.000792125,0.000792125,0.000792125
39,479.004,1.10171,1.86811,1.14912,0.83208,0.86786,0.87816,0.59057,1.146,1.87164,1.20276,0.00077975,0.00077975,0.00077975
40,491.264,1.07052,1.78878,1.13857,0.91117,0.84106,0.91334,0.61008,1.18578,1.76013,1.23506,0.000767375,0.000767375,0.000767375
41,503.753,1.09887,1.73342,1.15388,0.84507,0.90813,0.9034,0.61855,1.12197,1.72772,1.17137,0.000755,0.000755,0.000755
42,515.81,1.07608,1.72183,1.14495,0.84636,0.86966,0.88612,0.61511,1.11251,1.74263,1.17993,0.000742625,0.000742625,0.000742625
43,527.796,1.10561,1.76687,1.15305,0.88813,0.81318,0.89718,0.61556,1.11877,1.71777,1.19806,0.00073025,0.00073025,0.00073025
44,539.941,1.09581,1.74889,1.14552,0.86114,0.81992,0.88432,0.60173,1.17428,1.7637,1.18742,0.000717875,0.000717875,0.000717875
45,552.037,1.0633,1.69642,1.12331,0.86126,0.85494,0.90105,0.62788,1.08811,1.77347,1.14288,0.0007055,0.0007055,0.0007055
46,564.215,1.09297,1.73066,1.1357,0.84,0.8554,0.87105,0.577,1.12438,1.81707,1.18896,0.000693125,0.000693125,0.000693125
