epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.636,1.48403,10.6262,1.68898,0.40088,0.45082,0.39892,0.16672,1.92304,12.0464,2.17285,0.000375,0.000375,0.000375
2,1151.49,1.46165,4.38464,1.72855,0.47885,0.64599,0.56175,0.26472,1.7111,21.9567,3.75798,0.000754951,0.000754951,0.000754951
3,1676.55,1.5435,3.85417,1.79668,0.54677,0.00962,0.00503,0.0005,3.98788,19.9586,5.71445,0.00112723,0.00112723,0.00112723
4,2156.57,1.40864,3.53249,1.67174,0.64862,0.63313,0.48672,0.20896,2.10205,41.383,4.28084,0.00121287,0.00121287,0.00121287
5,2689.58,1.51005,3.2599,1.73202,0.64083,0.53809,0.42047,0.14063,2.2908,23.3934,3.27542,0.0012005,0.0012005,0.0012005
6,3189.22,1.39096,3.105,1.66067,0.17527,0.1571,0.12443,0.02931,2.91475,14.5977,4.0692,0.00118812,0.00118812,0.00118812
7,3707.19,1.3511,2.78907,1.60039,0.90288,0.44013,0.45037,0.26847,1.48696,6.47202,2.52382,0.00117575,0.00117575,0.00117575
8,4230.55,1.27119,2.71764,1.55579,0.72538,0.4777,0.58808,0.32357,1.53934,4.36592,2.24157,0.00116337,0.00116337,0.00116337
9,4786.84,1.38095,2.70296,1.63546,0.82685,0.55554,0.60086,0.28721,1.68312,4.49595,2.47237,0.001151,0.001151,0.001151
10,5318.08,1.29996,2.67686,1.57844,0.79592,0.50059,0.65347,0.32815,1.94637,3.81279,2.72848,0.00113863,0.00113863,0.00113863
11,5822.76,1.2878,2.59895,1.58757,0.87182,0.67784,0.70844,0.44497,1.21077,2.68843,1.70927,0.00112625,0.00112625,0.00112625
12,6342.69,1.26859,2.50065,1.55035,0.88794,0.68549,0.74641,0.46404,1.26555,2.35489,1.81574,0.00111388,0.00111388,0.00111388
13,6860.77,1.30858,2.56343,1.61751,0.83311,0.58085,0.67875,0.44451,1.15897,2.58928,1.68445,0.0011015,0.0011015,0.0011015
14,7371.98,1.26436,2.50659,1.5265,0.86298,0.69848,0.75991,0.51133,1.1381,1.97058,1.66,0.00108913,0.00108913,0.00108913
15,7876.92,1.25879,2.31638,1.53229,0.92101,0.68482,0.74132,0.49173,1.1293,2.03125,1.64292,0.00107675,0.00107675,0.00107675
16,8389.63,1.27171,2.54014,1.52557,0.91935,0.69357,0.74904,0.44962,1.39596,2.20405,1.9902,0.00106437,0.00106437,0.00106437
17,8913.8,1.26235,2.40676,1.51351,0.9243,0.68258,0.78176,0.51248,1.24823,2.33841,1.75437,0.001052,0.001052,0.001052
18,9450.37,1.2523,2.36456,1.52318,0.86027,0.70713,0.7372,0.49255,1.20887,3.12392,1.67576,0.00103962,0.00103962,0.00103962
