epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.571,1.2154,15.2824,0.0073,0.00798,0.53502,0.12248,0.06801,0.93978,14.1159,0.00878,0.000375,0.000375,0.000375
2,28.7794,1.25711,11.3834,0.00742,0.0087,0.80885,0.27124,0.14245,1.05153,13.5141,0.00988,0.000754951,0.000754951,0.000754951
3,42.1177,1.24429,10.0981,0.00746,0.88989,0.1519,0.5318,0.34482,1.08814,10.7157,0.01,0.00112723,0.00112723,0.00112723
4,55.9097,1.27736,8.9632,0.00759,0.83538,0.43667,0.57175,0.34791,1.2589,7.97524,0.01184,0.00121287,0.00121287,0.00121287
5,69.2891,1.29281,7.84004,0.0075,0.82645,0.55662,0.65553,0.42067,1.23007,5.43809,0.01154,0.0012005,0.0012005,0.0012005
6,83.6346,1.27645,7.06998,0.00764,0.74264,0.557,0.60978,0.39679,1.2152,3.91186,0.01134,0.00118812,0.00118812,0.00118812
7,97.3485,1.30391,6.39417,0.00764,0.79097,0.57451,0.62965,0.39491,1.28811,3.10118,0.01208,0.00117575,0.00117575,0.00117575
8,110.938,1.2321,5.98696,0.00722,0.76161,0.59966,0.61815,0.41045,1.19378,2.86019,0.01113,0.00116337,0.00116337,0.00116337
9,124.335,1.21523,5.30699,0.00727,0.78597,0.59533,0.65499,0.43849,1.21456,2.81899,0.01145,0.001151,0.001151,0.001151
10,138.036,1.25356,5.20609,0.00743,0.79789,0.54516,0.62918,0.42342,1.20535,2.53137,0.01132,0.00113863,0.00113863,0.00113863
11,151.415,1.22139,4.79565,0.00746,0.79418,0.58144,0.66461,0.45316,1.11685,2.66621,0.01045,0.00112625,0.00112625,0.00112625
12,165.156,1.24475,4.43913,0.00754,0.80383,0.59708,0.67914,0.44878,1.1909,2.64448,0.01135,0.00111388,0.00111388,0.00111388
13,179.032,1.31614,4.37567,0.00824,0.7631,0.65116,0.68617,0.44876,1.23709,2.37948,0.01164,0.0011015,0.0011015,0.0011015
14,193.263,1.25859,3.81407,0.00733,0.84138,0.56986,0.66203,0.43006,1.2563,2.42926,0.0119,0.00108913,0.00108913,0.00108913
15,207.063,1.26996,3.73483,0.00749,0.6412,0.65647,0.69802,0.47232,1.14925,2.48111,0.01071,0.00107675,0.00107675,0.00107675
16,220.705,1.22936,3.61236,0.0071,0.75791,0.68356,0.69028,0.47067,1.1618,2.40053,0.01081,0.00106437,0.00106437,0.00106437
17,234.692,1.2088,3.33972,0.00694,0.83544,0.5954,0.69651,0.46119,1.26137,2.5993,0.01183,0.001052,0.001052,0.001052
18,248.694,1.24687,3.3129,0.00734,0.67995,0.66833,0.70699,0.44527,1.4049,2.12815,0.01408,0.00103962,0.00103962,0.00103962
19,262.04,1.23475,3.07696,0.00727,0.87394,0.57761,0.70057,0.47763,1.13727,2.13933,0.01072,0.00102725,0.00102725,0.00102725
20,275.936,1.20478,2.8597,0.00733,0.54277,0.68018,0.68674,0.45119,1.21648,2.36245,0.01169,0.00101488,0.00101488,0.00101488
21,289.951,1.21194,2.89933,0.00728,0.59907,0.74015,0.73132,0.47663,1.3329,2.15581,0.01241,0.0010025,0.0010025,0.0010025
22,303.158,1.19669,2.70858,0.00694,0.63104,0.68334,0.73076,0.5102,1.12052,2.00873,0.01053,0.000990125,0.000990125,0.000990125
23,316.871,1.23935,2.99892,0.00753,0.63232,0.69003,0.73803,0.50148,1.19261,2.15188,0.01104,0.00097775,0.00097775,0.00097775
24,330.792,1.19153,2.61957,0.00694,0.68238,0.68669,0.77028,0.53788,1.10469,1.95307,0.01047,0.000965375,0.000965375,0.000965375
25,344.699,1.21091,2.5336,0.00726,0.72325,0.77579,0.80211,0.54196,1.22937,1.98891,0.0115,0.000953,0.000953,0.000953
26,357.855,1.23246,2.54483,0.00737,0.66769,0.68776,0.72223,0.4805,1.32251,2.28081,0.01226,0.000940625,0.000940625,0.000940625
27,371.622,1.21013,2.41913,0.00696,0.69179,0.69007,0.72579,0.50752,1.11509,2.03234,0.01035,0.00092825,0.00092825,0.00092825
28,385.115,1.18807,2.37559,0.00689,0.70296,0.80921,0.81283,0.55045,1.24272,1.92205,0.01162,0.000915875,0.000915875,0.000915875
29,399.215,1.18415,2.32096,0.007,0.59704,0.79865,0.75872,0.52269,1.12793,1.87806,0.01049,0.0009035,0.0009035,0.0009035
