epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.463,1.52878,11.8243,1.89703,0.15174,0.43726,0.1585,0.0884,1.46328,18.7333,2.06921,0.000375,0.000375,0.000375
2,1232.47,1.33738,4.92275,1.6215,0.5153,0.5145,0.57851,0.31804,1.44557,9.13643,2.1117,0.000754951,0.000754951,0.000754951
3,1767.01,1.46854,4.16192,1.74668,0.02006,0.09385,0.01576,0.00389,2.8953,26.1585,5.91094,0.00112723,0.00112723,0.00112723
4,2311.27,1.38979,3.26227,1.648,0.0005,0.0219,0.00022,5e-05,5.00603,inf,10.8536,0.00121287,0.00121287,0.00121287
5,2847.11,1.36301,3.11977,1.60266,0.58081,0.61821,0.61706,0.31903,2.22729,4.34207,2.99714,0.0012005,0.0012005,0.0012005
6,3442.46,1.28924,3.10041,1.56254,0.59429,0.70805,0.69585,0.39699,1.46728,9.32057,2.15147,0.00118812,0.00118812,0.00118812
7,3953.7,1.30853,2.68179,1.55246,0.83894,0.63848,0.68504,0.38546,1.56294,3.71099,2.22209,0.00117575,0.00117575,0.00117575
8,4535.34,1.23092,2.62145,1.49958,0.86783,0.68645,0.75335,0.50298,1.15362,2.68127,1.66584,0.00116337,0.00116337,0.00116337
9,5020.61,1.26995,2.55269,1.53249,0.89001,0.68274,0.71523,0.47682,1.15282,2.32172,1.65473,0.001151,0.001151,0.001151
10,5527.9,1.25066,2.64754,1.51492,0.9115,0.69583,0.7307,0.48808,1.1761,2.05759,1.67445,0.00113863,0.00113863,0.00113863
11,6167.77,1.19842,2.57623,1.50555,0.9187,0.69371,0.72808,0.48419,1.18729,2.79735,1.65624,0.00112625,0.00112625,0.00112625
12,6723.9,1.22493,2.57413,1.50321,0.90389,0.71109,0.73428,0.50233,1.16215,1.9906,1.63519,0.00111388,0.00111388,0.00111388
13,7236.75,1.28502,2.56803,1.58423,0.83103,0.66151,0.65646,0.40704,1.3157,2.33105,1.79267,0.0011015,0.0011015,0.0011015
14,7821.09,1.31519,2.54807,1.54847,0.91446,0.67351,0.71557,0.47512,1.19305,2.24099,1.67121,0.00108913,0.00108913,0.00108913
15,8441.34,1.24406,2.28588,1.49459,0.86795,0.70592,0.74741,0.47551,1.25662,2.30293,1.73307,0.00107675,0.00107675,0.00107675
16,9035.96,1.25014,2.55822,1.48888,0.92283,0.7076,0.75975,0.49569,1.20394,1.98413,1.7373,0.00106437,0.00106437,0.00106437
17,9541.06,1.20399,2.37134,1.45309,0.88441,0.70019,0.71046,0.3599,1.93597,6.72607,2.7506,0.001052,0.001052,0.001052
18,10076,1.21881,2.32893,1.47783,0.90487,0.67193,0.77851,0.51662,1.17955,1.9091,1.64077,0.00103962,0.00103962,0.00103962
19,10714,1.19764,2.36875,1.47826,0.89038,0.70052,0.73002,0.47114,1.32903,2.12875,1.80522,0.00102725,0.00102725,0.00102725
20,11239,1.20391,2.24616,1.49178,0.89875,0.67501,0.73816,0.50366,1.15489,2.01163,1.63785,0.00101488,0.00101488,0.00101488
21,11753.8,1.20197,2.34132,1.483,0.90484,0.69775,0.75266,0.5127,1.09835,1.86259,1.5654,0.0010025,0.0010025,0.0010025
22,12296.2,1.20574,2.21881,1.46193,0.91132,0.69971,0.79619,0.53918,1.17167,1.82299,1.61453,0.000990125,0.000990125,0.000990125
23,12923,1.20416,2.3066,1.49814,0.90319,0.70334,0.75656,0.50807,1.18078,2.26836,1.64332,0.00097775,0.00097775,0.00097775
24,13484.9,1.16134,2.27415,1.43508,0.88978,0.70739,0.7773,0.52863,1.12871,1.85075,1.58862,0.000965375,0.000965375,0.000965375
25,14069.5,1.17364,2.1706,1.4647,0.9176,0.70241,0.73547,0.49647,1.14151,2.12842,1.60749,0.000953,0.000953,0.000953
26,14586.3,1.1947,2.10523,1.47166,0.92558,0.68178,0.73454,0.4721,1.32059,1.99075,1.82216,0.000940625,0.000940625,0.000940625
27,15110,1.17719,2.15173,1.42759,0.89701,0.67974,0.77667,0.53635,1.12541,1.8056,1.58472,0.00092825,0.00092825,0.00092825
28,15661.3,1.16873,2.20939,1.4349,0.91907,0.68395,0.78315,0.52383,1.20244,1.93613,1.6862,0.000915875,0.000915875,0.000915875
29,16166.2,1.14633,2.10547,1.43133,0.8183,0.79028,0.81423,0.54351,1.22232,1.83427,1.69953,0.0009035,0.0009035,0.0009035
30,16713.3,1.14547,2.11413,1.4282,0.89316,0.70543,0.77389,0.54027,1.12251,1.83842,1.61071,0.000891125,0.000891125,0.000891125
31,17320.6,1.17673,2.16984,1.44987,0.90823,0.70336,0.75686,0.52532,1.1167,1.81326,1.58491,0.00087875,0.00087875,0.00087875
