epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.542,1.51251,140.67,0.00926,0.27137,0.40995,0.30049,0.17675,1.24364,67.9251,0.01193,0.000375,0.000375,0.000375
2,638.721,1.33713,30.9338,0.00798,0.8337,0.56781,0.64534,0.40216,1.33367,12.9466,0.01282,0.000754951,0.000754951,0.000754951
3,928.23,1.47618,9.03423,0.00912,0.82977,0.59563,0.65281,0.37118,1.559,4.65587,0.01518,0.00112723,0.00112723,0.00112723
4,1242.99,1.38132,4.52567,0.00819,0.88604,0.6566,0.71092,0.39925,1.64722,2.88936,0.01581,0.00121287,0.00121287,0.00121287
5,1588.74,1.42576,3.63236,0.00839,0.87696,0.69038,0.72521,0.45861,1.31975,3.04156,0.01313,0.0012005,0.0012005,0.0012005
6,1924.76,1.40652,3.18215,0.00847,0.92077,0.6639,0.73152,0.45517,1.35906,2.49012,0.01312,0.00118812,0.00118812,0.00118812
7,2217.25,1.37809,2.6433,0.008,0.62056,0.79798,0.80755,0.50432,1.34815,2.35983,0.0129,0.00117575,0.00117575,0.00117575
8,2527.57,1.31252,2.48904,0.00771,0.78252,0.71563,0.74748,0.4989,1.15926,1.78721,0.0111,0.00116337,0.00116337,0.00116337
9,2864.1,1.34274,2.39621,0.00815,0.72796,0.7487,0.73343,0.45991,1.2887,2.09353,0.01268,0.001151,0.001151,0.001151
10,3185.95,1.37455,2.46856,0.00814,0.70154,0.78529,0.76853,0.45106,1.49492,2.34609,0.0149,0.00113863,0.00113863,0.00113863
11,3494.32,1.30835,2.42997,0.00796,0.71709,0.83298,0.81444,0.51937,1.36455,1.83568,0.01327,0.00112625,0.00112625,0.00112625
12,3800.81,1.30183,2.22362,0.00785,0.67815,0.81421,0.78763,0.48625,1.35938,1.77619,0.01313,0.00111388,0.00111388,0.00111388
13,4120.96,1.31201,2.26211,0.00821,0.75205,0.86469,0.8166,0.51987,1.37665,1.7728,0.01359,0.0011015,0.0011015,0.0011015
14,4415.04,1.2603,2.10197,0.00734,0.86769,0.78132,0.87445,0.57435,1.30171,1.63425,0.01274,0.00108913,0.00108913,0.00108913
15,4766.59,1.28782,2.02471,0.00757,0.82762,0.86723,0.87891,0.58543,1.21233,1.855,0.01172,0.00107675,0.00107675,0.00107675
16,5078.44,1.29019,2.18882,0.0074,0.78398,0.81683,0.84901,0.55513,1.24827,1.5322,0.01219,0.00106437,0.00106437,0.00106437
17,5421.99,1.28025,2.09066,0.00739,0.7021,0.79045,0.84408,0.49271,1.70041,2.11157,0.01701,0.001052,0.001052,0.001052
18,5719.05,1.27385,2.02545,0.00753,0.73461,0.79738,0.82671,0.51847,1.43598,1.73805,0.01397,0.00103962,0.00103962,0.00103962
19,6045.33,1.24042,1.95405,0.00732,0.70986,0.79307,0.80862,0.53975,1.25829,1.68629,0.01219,0.00102725,0.00102725,0.00102725
20,6349.96,1.22266,1.90174,0.00742,0.73891,0.85734,0.84996,0.5477,1.36503,1.65665,0.01353,0.00101488,0.00101488,0.00101488
21,6681.23,1.24587,2.01206,0.00748,0.89341,0.74109,0.8368,0.55669,1.26147,1.54601,0.01249,0.0010025,0.0010025,0.0010025
22,6970.85,1.23836,1.81343,0.00724,0.79445,0.86157,0.89677,0.61516,1.12428,1.57421,0.01096,0.000990125,0.000990125,0.000990125
23,7293.16,1.248,1.89812,0.00761,0.77118,0.82298,0.85883,0.58602,1.18913,1.59658,0.0118,0.00097775,0.00097775,0.00097775
24,7605.27,1.27031,1.83641,0.00739,0.82761,0.89831,0.89587,0.5936,1.2598,1.39644,0.01243,0.000965375,0.000965375,0.000965375
25,7946.64,1.23661,1.81958,0.00747,0.79736,0.8759,0.85226,0.5566,1.32943,1.61394,0.01289,0.000953,0.000953,0.000953
26,8261.55,1.24539,1.8092,0.0074,0.81537,0.812,0.86168,0.54437,1.43256,1.68854,0.01385,0.000940625,0.000940625,0.000940625
27,8583.09,1.23683,1.81275,0.00703,0.82552,0.82968,0.85035,0.55179,1.31202,1.5055,0.01279,0.00092825,0.00092825,0.00092825
28,8911.66,1.26451,1.83569,0.00733,0.81332,0.77769,0.86406,0.58674,1.14166,1.346,0.01092,0.000915875,0.000915875,0.000915875
