epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4858,1.45746,7.20178,1.28724,0.36473,0.48596,0.4073,0.24967,1.30488,37.006,1.25148,0.000375,0.000375,0.000375
2,35.264,1.38542,3.51216,1.22804,0.48237,0.58848,0.51358,0.26932,1.65403,9.20403,1.9401,0.000754951,0.000754951,0.000754951
3,51.7991,1.41122,3.12844,1.23202,0.21476,0.21778,0.13782,0.05938,nan,nan,nan,0.00112723,0.00112723,0.00112723
4,68.3015,1.36749,3.03453,1.19594,0.78355,0.58737,0.61796,0.30539,1.61982,5.01247,1.729,0.00121287,0.00121287,0.00121287
5,84.8502,1.33468,2.81521,1.17937,0.60185,0.21513,0.12791,0.03019,nan,nan,nan,0.0012005,0.0012005,0.0012005
6,101.346,1.30092,2.72831,1.18875,0.82297,0.50812,0.57649,0.32003,1.42979,4.29797,1.36713,0.00118812,0.00118812,0.00118812
7,117.811,1.35392,2.70447,1.21475,0.84234,0.6535,0.69741,0.39645,1.56144,3.07167,1.52978,0.00117575,0.00117575,0.00117575
8,134.377,1.23304,2.56877,1.15714,0.79384,0.56238,0.61277,0.38593,1.27805,3.02243,1.21432,0.00116337,0.00116337,0.00116337
9,150.587,1.25193,2.61413,1.18142,0.80487,0.68881,0.71142,0.39975,1.5276,6.3622,1.46367,0.001151,0.001151,0.001151
10,166.924,1.25147,2.53105,1.17064,0.87576,0.66316,0.72465,0.41934,1.43265,2.49157,1.34683,0.00113863,0.00113863,0.00113863
11,183.575,1.25518,2.67372,1.19085,0.88001,0.68236,0.80292,0.47314,1.48174,2.59143,1.37624,0.00112625,0.00112625,0.00112625
12,199.916,1.22342,2.51423,1.17136,0.65372,0.6982,0.71587,0.40199,1.50529,2.85663,1.3442,0.00111388,0.00111388,0.00111388
13,216.309,1.26925,2.48395,1.19591,0.66275,0.6647,0.71869,0.47913,1.18012,2.37572,1.13244,0.0011015,0.0011015,0.0011015
14,232.825,1.24276,2.43383,1.17101,0.87241,0.6458,0.69542,0.44404,1.2303,2.11169,1.19855,0.00108913,0.00108913,0.00108913
15,249.268,1.22721,2.29801,1.15865,0.88212,0.6496,0.72131,0.47697,1.21856,2.1089,1.17198,0.00107675,0.00107675,0.00107675
16,265.59,1.26657,2.53381,1.16515,0.92994,0.62112,0.76478,0.50822,1.12897,3.87697,1.12302,0.00106437,0.00106437,0.00106437
17,282.232,1.22347,2.41224,1.16125,0.90937,0.70413,0.78206,0.51522,1.26033,2.01374,1.17968,0.001052,0.001052,0.001052
18,298.603,1.22682,2.42875,1.1724,0.92374,0.69631,0.76938,0.51735,1.18649,1.93603,1.13572,0.00103962,0.00103962,0.00103962
19,314.867,1.20254,2.49505,1.15101,0.81854,0.65373,0.73597,0.46214,1.28992,2.21681,1.19846,0.00102725,0.00102725,0.00102725
20,331.308,1.22089,2.296,1.17195,0.92669,0.68364,0.7807,0.51019,1.23442,1.93925,1.16761,0.00101488,0.00101488,0.00101488
21,347.525,1.21534,2.32752,1.16894,0.68533,0.81388,0.81299,0.54856,1.17234,1.86719,1.13249,0.0010025,0.0010025,0.0010025
22,364.228,1.20684,2.21318,1.14163,0.64128,0.77763,0.76056,0.51304,1.16219,1.85128,1.12506,0.000990125,0.000990125,0.000990125
23,380.498,1.20005,2.33123,1.15225,0.77631,0.74845,0.77734,0.52088,1.18431,1.91101,1.14097,0.00097775,0.00097775,0.00097775
24,396.855,1.19396,2.28579,1.15193,0.72261,0.78552,0.80169,0.53985,1.14144,1.84662,1.11584,0.000965375,0.000965375,0.000965375
25,413.301,1.23499,2.30403,1.16689,0.8466,0.73551,0.76371,0.49308,1.30716,1.97612,1.18662,0.000953,0.000953,0.000953
26,429.592,1.24245,2.24543,1.17241,0.90589,0.71168,0.76403,0.49506,1.26316,1.8737,1.18664,0.000940625,0.000940625,0.000940625
27,445.79,1.20382,2.25315,1.15238,0.72322,0.77735,0.78587,0.4962,1.34542,1.91661,1.22365,0.00092825,0.00092825,0.00092825
28,462.319,1.19599,2.33369,1.15533,0.64274,0.80051,0.79265,0.52808,1.167,1.803,1.13468,0.000915875,0.000915875,0.000915875
29,478.557,1.17377,2.18871,1.15006,0.80329,0.67963,0.75524,0.51149,1.15938,1.95737,1.13214,0.0009035,0.0009035,0.0009035
30,494.869,1.18038,2.19325,1.1365,0.72049,0.79593,0.80467,0.54491,1.14118,1.82071,1.12096,0.000891125,0.000891125,0.000891125
31,511.328,1.18831,2.22187,1.14335,0.84699,0.72664,0.76906,0.52426,1.10392,1.79984,1.09083,0.00087875,0.00087875,0.00087875
32,527.63,1.17267,2.14561,1.13404,0.66705,0.75253,0.75769,0.5267,1.10828,1.75082,1.09701,0.000866375,0.000866375,0.000866375
33,543.826,1.17252,2.11515,1.14293,0.93075,0.68463,0.76194,0.516,1.14211,1.74714,1.12388,0.000854,0.000854,0.000854
34,560.342,1.15416,2.12266,1.13957,0.89674,0.68219,0.79398,0.52716,1.18322,1.79217,1.14709,0.000841625,0.000841625,0.000841625
35,576.678,1.19181,2.13667,1.16015,0.9406,0.65143,0.74614,0.48499,1.27491,1.96179,1.21695,0.00082925,0.00082925,0.00082925
