epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.25,1.50707,15.0397,1.61746,0.58099,0.68657,0.65871,0.36992,1.3321,6.63093,1.4396,0.000375,0.000375,0.000375
2,325.442,1.40811,4.67859,1.59829,0.83195,0.68328,0.68706,0.39824,1.46415,3.14099,2.11316,0.000754951,0.000754951,0.000754951
3,490.828,1.3548,3.59777,1.56323,0.72749,0.47427,0.47142,0.20709,1.79144,4.95848,2.52959,0.00112723,0.00112723,0.00112723
4,670.364,1.34178,3.05472,1.57728,0.70355,0.35512,0.346,0.15634,1.85276,4.55268,2.57807,0.00121287,0.00121287,0.00121287
5,845.743,1.3449,2.92249,1.579,0.8246,0.53367,0.64098,0.36599,1.54544,3.89681,2.2071,0.0012005,0.0012005,0.0012005
6,1031.91,1.26559,2.76313,1.51921,0.58014,0.61686,0.41763,0.25214,1.29985,5.72177,1.90662,0.00118812,0.00118812,0.00118812
7,1215.06,1.29292,2.58179,1.52648,0.81146,0.66193,0.67572,0.41894,1.2152,3.01687,1.79299,0.00117575,0.00117575,0.00117575
8,1407.41,1.24022,2.57842,1.48235,0,0,0,0,nan,nan,nan,0.00116337,0.00116337,0.00116337
9,1582.12,1.2668,2.50214,1.50393,0.65042,0.02017,0.01221,0.00449,nan,nan,nan,0.001151,0.001151,0.001151
10,1760.14,1.26514,2.63658,1.48813,0.8264,0.57227,0.63298,0.37741,nan,nan,nan,0.00113863,0.00113863,0.00113863
11,1940.44,1.24208,2.66765,1.5059,0.93947,0.67245,0.74236,0.49106,1.15899,5.08351,1.64173,0.00112625,0.00112625,0.00112625
12,2128.72,1.24649,2.51445,1.48517,0.87267,0.7069,0.72535,0.49449,1.12275,2.16567,1.62723,0.00111388,0.00111388,0.00111388
13,2301.87,1.23919,2.47837,1.53267,0.91273,0.68427,0.78223,0.52275,1.18137,1.95885,1.70242,0.0011015,0.0011015,0.0011015
14,2480.31,1.19922,2.30617,1.44378,0.92072,0.65624,0.76236,0.52233,1.13185,2.05617,1.62542,0.00108913,0.00108913,0.00108913
15,2678.4,1.22487,2.21769,1.47946,0.88641,0.6732,0.78442,0.53452,1.17886,2.06556,1.68847,0.00107675,0.00107675,0.00107675
16,2849.47,1.21028,2.37568,1.43828,0.90843,0.69354,0.79775,0.53472,1.2124,1.9702,1.71783,0.00106437,0.00106437,0.00106437
17,3049.13,1.20461,2.33664,1.43316,0.89279,0.6932,0.76595,0.49557,1.2304,2.18178,1.7354,0.001052,0.001052,0.001052
18,3227.6,1.20927,2.264,1.45065,0.86034,0.70387,0.71856,0.46695,1.20207,2.1943,1.65127,0.00103962,0.00103962,0.00103962
19,3407.99,1.17909,2.25498,1.44167,0.89054,0.69354,0.75067,0.51353,1.1429,1.9467,1.62904,0.00102725,0.00102725,0.00102725
20,3592.04,1.17806,2.17966,1.46339,0.89836,0.68713,0.77485,0.51798,1.16256,2.0379,1.67203,0.00101488,0.00101488,0.00101488
21,3770.85,1.24096,2.4503,1.49487,0.83538,0.7094,0.75817,0.51806,1.10844,2.1228,1.59677,0.0010025,0.0010025,0.0010025
22,3950.4,1.18689,2.21741,1.4374,0.92065,0.69868,0.74468,0.50139,1.16862,2.04072,1.62676,0.000990125,0.000990125,0.000990125
23,4138.18,1.214,2.34207,1.48627,0.88471,0.70119,0.76487,0.52744,1.11678,2.08827,1.60874,0.00097775,0.00097775,0.00097775
24,4304.7,1.1686,2.27883,1.42442,0.76838,0.79646,0.81474,0.47551,1.61422,2.26733,2.33487,0.000965375,0.000965375,0.000965375
25,4481.56,1.19395,2.19007,1.46225,0.86976,0.71804,0.74409,0.49634,1.16997,1.97383,1.67107,0.000953,0.000953,0.000953
26,4669.44,1.19313,2.16538,1.46365,0.92493,0.67883,0.75643,0.47832,1.31548,1.97371,1.83822,0.000940625,0.000940625,0.000940625
27,4866.99,1.17297,2.12928,1.41352,0.70039,0.77906,0.77609,0.47698,1.34096,2.01894,1.86926,0.00092825,0.00092825,0.00092825
28,5045.91,1.1682,2.18162,1.42656,0.83475,0.76628,0.80133,0.54733,1.14862,1.88848,1.64533,0.000915875,0.000915875,0.000915875
29,5222.83,1.15585,2.08494,1.41837,0.66527,0.791,0.796,0.5488,1.13946,1.88712,1.61719,0.0009035,0.0009035,0.0009035
30,5398.04,1.15602,2.09401,1.42952,0.93056,0.67492,0.81739,0.52842,1.23446,1.95496,1.77144,0.000891125,0.000891125,0.000891125
31,5594.06,1.19307,2.15758,1.47068,0.66089,0.79068,0.78665,0.54194,1.09549,1.96105,1.60391,0.00087875,0.00087875,0.00087875
32,5779.64,1.16053,2.13124,1.44007,0.69774,0.84654,0.82384,0.56471,1.11204,1.82603,1.59155,0.000866375,0.000866375,0.000866375
33,5967.54,1.14494,2.09312,1.42494,0.91417,0.70011,0.76732,0.44125,1.65925,2.19653,2.27848,0.000854,0.000854,0.000854
34,6153.67,1.14495,2.07056,1.4165,0.58363,0.80156,0.74053,0.478,1.36418,1.90791,1.9214,0.000841625,0.000841625,0.000841625
35,6342.38,1.15511,2.03608,1.45065,0.68668,0.7885,0.7866,0.53814,1.14674,1.88322,1.6324,0.00082925,0.00082925,0.00082925
36,6526.24,1.14088,2.17167,1.4148,0.77417,0.81001,0.85123,0.59138,1.09316,1.95051,1.57771,0.000816875,0.000816875,0.000816875
37,6734.02,1.1401,2.1222,1.40704,0.65227,0.83532,0.81103,0.56564,1.1091,1.8191,1.58547,0.0008045,0.0008045,0.0008045
38,6927.5,1.13076,2.06858,1.4015,0.704,0.77879,0.79934,0.55523,1.09776,1.76104,1.5882,0.000792125,0.000792125,0.000792125
39,7085.89,1.12659,2.01824,1.40599,0.82093,0.77614,0.81539,0.56495,1.09283,1.81912,1.57135,0.00077975,0.00077975,0.00077975
40,7276.05,1.10869,1.90147,1.37336,0.7428,0.83018,0.82767,0.55842,1.13638,1.85105,1.65601,0.000767375,0.000767375,0.000767375
41,7456.02,1.13163,1.94543,1.40718,0.79833,0.78281,0.81574,0.5645,1.13057,1.70572,1.63704,0.000755,0.000755,0.000755
42,7628.88,1.12498,1.91534,1.40795,0.62634,0.79868,0.77004,0.53037,1.11901,1.91549,1.60939,0.000742625,0.000742625,0.000742625
43,7813.25,1.15518,2.02735,1.41273,0.82412,0.78402,0.82233,0.54807,1.26854,1.95685,1.80369,0.00073025,0.00073025,0.00073025
44,7993.67,1.1259,2.00863,1.39482,0.77661,0.75872,0.80566,0.54963,1.18298,1.74739,1.66922,0.000717875,0.000717875,0.000717875
45,8172.06,1.12006,1.86788,1.37062,0.75847,0.84293,0.848,0.59742,1.08073,1.64782,1.5617,0.0007055,0.0007055,0.0007055
46,8350.94,1.13871,1.91169,1.41364,0.72098,0.84763,0.82902,0.54695,1.19759,1.75735,1.70813,0.000693125,0.000693125,0.000693125
47,8525.44,1.11967,1.88741,1.40222,0.87809,0.81487,0.88162,0.60429,1.17619,1.69023,1.67237,0.00068075,0.00068075,0.00068075
48,8711.44,1.10776,1.89806,1.37772,0.76038,0.79062,0.81327,0.56363,1.09432,1.72782,1.58195,0.000668375,0.000668375,0.000668375
49,8890.57,1.1005,1.79281,1.38119,0.73917,0.85051,0.83676,0.57762,1.0972,1.74729,1.57372,0.000656,0.000656,0.000656
50,9083.92,1.11304,1.84501,1.37861,0.77161,0.87587,0.84178,0.53338,1.29978,1.92031,1.79769,0.000643625,0.000643625,0.000643625
51,9274.84,1.12518,1.87282,1.37504,0.81224,0.84903,0.85501,0.58973,1.10037,1.69832,1.58411,0.00063125,0.00063125,0.00063125
52,9457.08,1.08084,1.80572,1.35006,0.81696,0.86371,0.85515,0.60231,1.0932,1.70866,1.56816,0.000618875,0.000618875,0.000618875
53,9634.9,1.07615,1.85215,1.35884,0.68234,0.83532,0.83221,0.57119,1.12507,1.95814,1.62339,0.0006065,0.0006065,0.0006065
54,9833.13,1.10744,1.80241,1.41816,0.77251,0.85329,0.86002,0.60449,1.13356,1.71381,1.62436,0.000594125,0.000594125,0.000594125
55,10020.1,1.11053,1.92066,1.42232,0.87605,0.77978,0.83538,0.58058,1.0695,1.72407,1.54965,0.00058175,0.00058175,0.00058175
56,10211.8,1.07741,1.80182,1.37822,0.89091,0.82755,0.87674,0.61323,1.09383,1.65176,1.57737,0.000569375,0.000569375,0.000569375
57,10390.4,1.07264,1.82288,1.37102,0.81811,0.8728,0.8744,0.60618,1.12031,1.71938,1.61455,0.000557,0.000557,0.000557
58,10559.8,1.08553,1.67123,1.37395,0.79356,0.87312,0.86245,0.60092,1.11791,1.67223,1.60808,0.000544625,0.000544625,0.000544625
59,10736,1.1024,1.77005,1.3919,0.77259,0.86063,0.86072,0.60086,1.09008,1.6438,1.56739,0.00053225,0.00053225,0.00053225
60,10911.5,1.09547,1.69489,1.38138,0.88691,0.78884,0.84375,0.58778,1.09469,1.66228,1.58796,0.000519875,0.000519875,0.000519875
61,11090.6,1.106,1.79338,1.4038,0.75224,0.82764,0.83024,0.57828,1.09796,2.07995,1.57735,0.0005075,0.0005075,0.0005075
62,11292,1.08173,1.81536,1.37898,0.79375,0.8376,0.83884,0.59729,1.09747,1.69997,1.56839,0.000495125,0.000495125,0.000495125
63,11471.9,1.07313,1.75651,1.33318,0.89785,0.82973,0.88157,0.6151,1.11123,1.89149,1.60933,0.00048275,0.00048275,0.00048275
64,11651.5,1.12395,1.68898,1.39435,0.91095,0.80088,0.87851,0.61828,1.09075,1.68259,1.56494,0.000470375,0.000470375,0.000470375
65,11841.2,1.05484,1.64758,1.34815,0.88918,0.82377,0.88237,0.60012,1.17554,1.68661,1.66997,0.000458,0.000458,0.000458
66,12012.1,1.09595,1.6747,1.36819,0.86415,0.838,0.88516,0.62791,1.08129,1.64254,1.54629,0.000445625,0.000445625,0.000445625
67,12192.6,1.07508,1.6221,1.36017,0.90443,0.79619,0.88545,0.61744,1.09639,1.61304,1.56878,0.00043325,0.00043325,0.00043325
68,12377.2,1.10488,1.6597,1.38511,0.81895,0.80626,0.84696,0.58411,1.12095,1.71154,1.62599,0.000420875,0.000420875,0.000420875
69,12563,1.07087,1.64351,1.33742,0.81765,0.85878,0.86669,0.60503,1.09942,1.71145,1.60022,0.0004085,0.0004085,0.0004085
70,12754.4,1.0655,1.61265,1.34307,0.83036,0.86507,0.85308,0.60148,1.08927,1.66413,1.56747,0.000396125,0.000396125,0.000396125
71,12932.6,1.08588,1.69118,1.35586,0.81628,0.82689,0.83771,0.59769,1.08739,1.64187,1.58129,0.00038375,0.00038375,0.00038375
72,13114.5,1.05514,1.65167,1.33592,0.80566,0.84215,0.86159,0.60296,1.10052,1.65895,1.5949,0.000371375,0.000371375,0.000371375
73,13288.1,1.06715,1.63468,1.36934,0.8551,0.82456,0.8577,0.60842,1.08424,1.75862,1.55849,0.000359,0.000359,0.000359
74,13464.5,1.07416,1.59795,1.35752,0.87411,0.81789,0.85843,0.60919,1.07992,1.56059,1.5671,0.000346625,0.000346625,0.000346625
75,13653.1,1.05809,1.57201,1.35111,0.83561,0.81317,0.83924,0.59357,1.08019,1.60394,1.5783,0.00033425,0.00033425,0.00033425
76,13832.5,1.0568,1.59732,1.35676,0.82172,0.82072,0.83925,0.59322,1.08276,1.6563,1.56557,0.000321875,0.000321875,0.000321875
77,14014.4,1.06089,1.56675,1.33418,0.87068,0.80545,0.84236,0.59156,1.07405,1.62702,1.54577,0.0003095,0.0003095,0.0003095
78,14205.3,1.03804,1.56597,1.30717,0.89198,0.82761,0.86197,0.60099,1.12438,1.56126,1.6079,0.000297125,0.000297125,0.000297125
79,14411.3,1.04413,1.58098,1.32124,0.88671,0.77711,0.85182,0.60262,1.07836,1.5337,1.56831,0.00028475,0.00028475,0.00028475
80,14599,1.05503,1.58116,1.36273,0.86849,0.82218,0.86457,0.60335,1.08854,1.57603,1.57251,0.000272375,0.000272375,0.000272375
81,14778.8,1.03301,1.48315,1.30588,0.89748,0.80509,0.86578,0.60824,1.06749,1.58878,1.54953,0.00026,0.00026,0.00026
82,14975.5,1.03079,1.52301,1.32611,0.88606,0.77637,0.86586,0.60683,1.08263,1.59935,1.55271,0.000247625,0.000247625,0.000247625
83,15159.2,1.03241,1.48941,1.31456,0.88401,0.78474,0.86269,0.60243,1.09617,1.6471,1.57637,0.00023525,0.00023525,0.00023525
84,15350.6,1.05857,1.59824,1.35531,0.86237,0.80375,0.8518,0.60117,1.10098,1.58946,1.5623,0.000222875,0.000222875,0.000222875
85,15534.3,1.04203,1.51021,1.33221,0.83676,0.82499,0.85561,0.60213,1.084,1.6034,1.56774,0.0002105,0.0002105,0.0002105
86,15730.3,1.03351,1.44433,1.32375,0.80473,0.83912,0.85667,0.60671,1.08177,1.60492,1.55712,0.000198125,0.000198125,0.000198125
