epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7509,1.40865,2.02435,1.50061,0.77803,0.62455,0.6659,0.43174,1.19468,1.6662,1.5858,0.000375,0.000375,0.000375
2,34.9573,1.24122,1.16117,1.48859,0.3922,0.75884,0.46042,0.27115,1.52732,inf,2.19661,0.000754951,0.000754951,0.000754951
3,52.2346,1.27682,1.00404,1.56603,0.26045,0.4276,0.36252,0.16616,1.77615,11.7931,2.58368,0.00112723,0.00112723,0.00112723
4,69.3863,1.24545,0.98341,1.52659,0.70669,0.66361,0.54292,0.29014,1.57336,6.02731,2.24073,0.00121287,0.00121287,0.00121287
5,86.2184,1.25079,0.88509,1.54076,0.88351,0.69876,0.79279,0.4809,1.34726,0.81003,1.97794,0.0012005,0.0012005,0.0012005
6,103.315,1.21691,0.86117,1.48684,0.70408,0.7706,0.79635,0.50224,1.25627,0.83373,1.81832,0.00118812,0.00118812,0.00118812
7,120.067,1.19631,0.79203,1.48197,0.82957,0.67763,0.7375,0.43789,1.36847,0.7725,1.95635,0.00117575,0.00117575,0.00117575
8,136.588,1.24394,0.83982,1.53482,0.69173,0.80709,0.77005,0.47795,1.45159,0.74824,2.05098,0.00116337,0.00116337,0.00116337
9,153.168,1.19244,0.75042,1.4853,0.87554,0.73718,0.76954,0.48088,1.32707,0.78641,1.85933,0.001151,0.001151,0.001151
10,170.035,1.15853,0.72445,1.45858,0.71704,0.84827,0.82856,0.5464,1.16488,0.68076,1.72607,0.00113863,0.00113863,0.00113863
11,187.236,1.21867,0.748,1.5221,0.76767,0.82745,0.85086,0.52449,1.42136,0.70563,1.98852,0.00112625,0.00112625,0.00112625
12,203.81,1.20813,0.75632,1.54163,0.8276,0.78064,0.84621,0.5722,1.17123,0.65975,1.70326,0.00111388,0.00111388,0.00111388
13,220.525,1.18628,0.77161,1.50108,0.61596,0.82296,0.8137,0.53703,1.14781,0.80433,1.6948,0.0011015,0.0011015,0.0011015
14,237.146,1.16689,0.7128,1.45834,0.76805,0.80971,0.83282,0.566,1.13365,0.63791,1.63696,0.00108913,0.00108913,0.00108913
15,253.781,1.1669,0.69222,1.44818,0.71021,0.79898,0.77087,0.49045,1.22345,0.73381,1.76149,0.00107675,0.00107675,0.00107675
16,270.532,1.16679,0.7376,1.44851,0.72357,0.79945,0.79723,0.54526,1.14777,0.65849,1.65616,0.00106437,0.00106437,0.00106437
