epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.028,1.97079,4.43926,2.18559,0.08661,0.78472,0.07426,0.0305,1.98014,21.9642,2.74928,0.0006,0.0006,0.0006
2,1271.52,1.83143,2.27046,2.10932,0,0,0,0,nan,nan,nan,0.00120792,0.00120792,0.00120792
3,1743.93,1.92879,2.11588,2.22174,0.00106,0.31944,0.0008,0.00015,3.83585,inf,2298.38,0.00180357,0.00180357,0.00180357
4,2188.9,1.91778,1.87992,2.18173,3e-05,0.00694,1e-05,0,2.8314,inf,7.95378,0.0019406,0.0019406,0.0019406
5,2793.74,1.87279,1.82865,2.11886,0,0,0,0,0,0.4457,0,0.0019208,0.0019208,0.0019208
6,3328.72,1.82511,1.8001,2.0637,0.88109,0.60417,0.74199,0.24609,2.20014,2.22726,2.59028,0.001901,0.001901,0.001901
7,3898.96,1.80893,1.70668,2.05838,0.11964,0.1875,0.0575,0.02684,2.66537,6.08955,3.20096,0.0018812,0.0018812,0.0018812
8,4362.58,1.70793,1.60377,1.95514,0.84189,0.36111,0.47594,0.29816,1.87277,2.59372,2.3969,0.0018614,0.0018614,0.0018614
9,4969.13,1.65492,1.59344,1.92106,0.994,0.68056,0.82694,0.47781,1.60055,1.50567,1.99349,0.0018416,0.0018416,0.0018416
10,5545.25,1.67456,1.58027,1.91623,0.41577,0.05556,0.03434,0.01479,3.58476,4.51209,4.00858,0.0018218,0.0018218,0.0018218
11,6063.19,1.64827,1.55841,1.95484,1,0.65167,0.79998,0.46618,1.59992,1.12186,2.01704,0.001802,0.001802,0.001802
12,6468.78,1.65219,1.55882,1.92322,0.98414,0.54167,0.6104,0.37817,1.6371,1.7965,2.10984,0.0017822,0.0017822,0.0017822
13,7054.09,1.66694,1.6093,1.93938,0.89725,0.67361,0.79521,0.44687,1.59231,1.62624,2.00371,0.0017624,0.0017624,0.0017624
14,7639.67,1.54533,1.38383,1.83473,0.88583,0.32332,0.38343,0.19558,2.02751,3.38086,2.43969,0.0017426,0.0017426,0.0017426
15,8199.62,1.58315,1.37837,1.85424,0.94383,0.6875,0.83228,0.4647,1.65726,1.32801,2.08407,0.0017228,0.0017228,0.0017228
16,8718.79,1.58535,1.50276,1.85695,0.97816,0.6875,0.8372,0.47732,1.57807,1.19741,1.99034,0.001703,0.001703,0.001703
17,9257.64,1.57769,1.45672,1.87275,0.8143,0.76132,0.80066,0.48319,1.63322,1.36768,2.01824,0.0016832,0.0016832,0.0016832
18,9826.64,1.60656,1.4617,1.84303,0.91302,0.72897,0.82312,0.51037,1.49977,1.17633,1.92828,0.0016634,0.0016634,0.0016634
19,10405.9,1.48942,1.27745,1.77411,0.86584,0.76191,0.86585,0.52495,1.52352,0.99142,1.92586,0.0016436,0.0016436,0.0016436
20,10851.5,1.5223,1.3856,1.83027,0.87456,0.81944,0.87396,0.5243,1.5475,1.08316,1.91525,0.0016238,0.0016238,0.0016238
21,11454.5,1.51924,1.34691,1.79029,0.82641,0.79167,0.82592,0.49091,1.52679,1.26439,1.94519,0.001604,0.001604,0.001604
