epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4335,1.48153,6.7176,1.39534,0.78368,0.69638,0.67078,0.41107,1.27035,5.04425,1.18701,0.000375,0.000375,0.000375
2,33.5106,1.27735,3.88453,1.17973,0.86498,0.65095,0.69837,0.3535,1.76442,7.12763,1.71332,0.000754951,0.000754951,0.000754951
3,49.376,1.34581,3.28022,1.22209,0.64906,0.66607,0.46724,0.23764,1.68024,inf,1.78932,0.00112723,0.00112723,0.00112723
4,65.1927,1.35434,3.11209,1.2279,0.87913,0.42088,0.51149,0.25252,1.67537,4.9325,1.57599,0.00121287,0.00121287,0.00121287
5,81.0589,1.33499,3.09301,1.22628,0.61661,0.36959,0.27701,0.14358,1.73014,85.5453,1.61975,0.0012005,0.0012005,0.0012005
6,96.8783,1.27645,2.77032,1.19987,0.154,0.40774,0.06268,0.02674,2.03234,inf,1.73715,0.00118812,0.00118812,0.00118812
7,112.759,1.27201,2.61056,1.18433,0.73715,0.51619,0.56797,0.34246,1.32578,3.18411,1.26119,0.00117575,0.00117575,0.00117575
8,128.612,1.19671,2.55161,1.153,0.86547,0.70703,0.73654,0.46266,1.35496,2.92106,1.27708,0.00116337,0.00116337,0.00116337
9,144.704,1.24894,2.50988,1.18811,0.8585,0.69341,0.7337,0.44729,1.351,2.29427,1.26376,0.001151,0.001151,0.001151
10,160.781,1.22297,2.47304,1.1692,0.89326,0.70255,0.7379,0.47001,1.30802,2.07962,1.20465,0.00113863,0.00113863,0.00113863
11,177.037,1.18417,2.49109,1.1618,0.88761,0.68357,0.72573,0.49093,1.16145,1.95717,1.13299,0.00112625,0.00112625,0.00112625
12,193.353,1.20258,2.4535,1.17162,0.91079,0.70119,0.73591,0.49616,1.13054,1.93788,1.11267,0.00111388,0.00111388,0.00111388
13,209.661,1.21991,2.43684,1.18018,0.90189,0.6668,0.77599,0.52549,1.18054,2.04166,1.14247,0.0011015,0.0011015,0.0011015
14,225.946,1.18527,2.3017,1.15388,0.9091,0.67943,0.76489,0.51357,1.21263,1.85178,1.15638,0.00108913,0.00108913,0.00108913
15,242.065,1.21449,2.24632,1.16467,0.87922,0.67699,0.7144,0.46107,1.26256,1.98683,1.19618,0.00107675,0.00107675,0.00107675
16,258.174,1.19464,2.37591,1.13948,0.91132,0.69451,0.75852,0.50067,1.1813,1.90879,1.14993,0.00106437,0.00106437,0.00106437
17,274.337,1.2132,2.42094,1.17076,0.90228,0.67693,0.72459,0.46208,1.28061,2.31875,1.20497,0.001052,0.001052,0.001052
18,290.486,1.19947,2.36449,1.17062,0.90709,0.70336,0.74363,0.50815,1.16951,1.83677,1.14129,0.00103962,0.00103962,0.00103962
19,306.631,1.16232,2.27147,1.14233,0.90277,0.68816,0.78568,0.53433,1.18249,1.83057,1.13122,0.00102725,0.00102725,0.00102725
20,323.049,1.1676,2.19182,1.15617,0.89204,0.69821,0.79964,0.52748,1.30017,1.87795,1.19751,0.00101488,0.00101488,0.00101488
21,339.244,1.20319,2.23852,1.16621,0.93914,0.66912,0.7466,0.48226,1.30659,1.8584,1.21217,0.0010025,0.0010025,0.0010025
22,355.423,1.14877,2.08433,1.13325,0.9207,0.70978,0.73612,0.44902,1.43972,1.90958,1.31183,0.000990125,0.000990125,0.000990125
23,371.59,1.16834,2.23719,1.15452,0.92255,0.70039,0.7624,0.51342,1.1708,1.78602,1.13563,0.00097775,0.00097775,0.00097775
24,387.773,1.17099,2.24706,1.15658,0.918,0.6972,0.77828,0.52665,1.15853,1.73848,1.11911,0.000965375,0.000965375,0.000965375
25,403.93,1.21451,2.21537,1.17316,0.917,0.70314,0.74628,0.50218,1.17148,1.83184,1.12203,0.000953,0.000953,0.000953
26,420.148,1.19175,2.12417,1.16447,0.92152,0.69575,0.77339,0.53067,1.13268,1.75959,1.11879,0.000940625,0.000940625,0.000940625
27,436.302,1.1692,2.178,1.14301,0.60236,0.77752,0.75228,0.51639,1.17305,1.75557,1.11482,0.00092825,0.00092825,0.00092825
28,452.533,1.14056,2.14482,1.13234,0.89476,0.68363,0.78814,0.51114,1.33061,1.93833,1.23523,0.000915875,0.000915875,0.000915875
29,468.679,1.13528,2.13348,1.13879,0.63656,0.81484,0.77958,0.54183,1.10807,1.70713,1.09527,0.0009035,0.0009035,0.0009035
30,485.012,1.13669,2.11919,1.13961,0.90263,0.69672,0.79371,0.54051,1.19152,1.80527,1.16072,0.000891125,0.000891125,0.000891125
31,501.183,1.16572,2.16238,1.17061,0.74086,0.77097,0.79242,0.55188,1.12743,1.80078,1.10969,0.00087875,0.00087875,0.00087875
32,517.574,1.15245,2.12279,1.15382,0.68805,0.81222,0.78772,0.54934,1.10562,1.77332,1.10111,0.000866375,0.000866375,0.000866375
33,533.726,1.15833,2.13148,1.16232,0.6465,0.85118,0.76346,0.52918,1.14872,1.80417,1.13033,0.000854,0.000854,0.000854
34,549.914,1.14966,2.13841,1.15266,0.60116,0.73843,0.70789,0.4838,1.12916,1.86194,1.108,0.000841625,0.000841625,0.000841625
35,566.059,1.15524,2.06312,1.15774,0.72284,0.817,0.81222,0.56643,1.11182,1.75595,1.11108,0.00082925,0.00082925,0.00082925
36,582.392,1.1338,2.16461,1.15326,0.91506,0.71488,0.75226,0.52232,1.10989,1.69421,1.1087,0.000816875,0.000816875,0.000816875
37,598.556,1.13015,2.06994,1.13239,0.6718,0.79791,0.80997,0.56514,1.12692,1.71363,1.11216,0.0008045,0.0008045,0.0008045
38,614.692,1.11834,1.98811,1.13474,0.61064,0.75945,0.76342,0.52855,1.10557,1.69803,1.09946,0.000792125,0.000792125,0.000792125
39,630.804,1.10749,1.99568,1.12886,0.74456,0.78554,0.78966,0.54281,1.10266,1.74133,1.10714,0.00077975,0.00077975,0.00077975
40,647.004,1.09518,1.88702,1.12598,0.82151,0.76873,0.81407,0.56452,1.14533,1.81309,1.13588,0.000767375,0.000767375,0.000767375
41,663.151,1.09978,1.92576,1.13258,0.91718,0.76327,0.81841,0.55658,1.17928,1.73628,1.15744,0.000755,0.000755,0.000755
42,679.324,1.08924,1.81534,1.12987,0.89387,0.757,0.83811,0.52831,1.40242,1.8393,1.30253,0.000742625,0.000742625,0.000742625
43,695.472,1.11182,1.87733,1.13083,0.69449,0.8463,0.83719,0.5788,1.17116,1.99347,1.14347,0.00073025,0.00073025,0.00073025
44,711.827,1.11147,1.97563,1.1318,0.80155,0.83183,0.85464,0.60149,1.09237,1.72032,1.09336,0.000717875,0.000717875,0.000717875
45,728.119,1.09113,1.82498,1.11514,0.87967,0.80659,0.86278,0.59315,1.11376,1.68404,1.11156,0.0007055,0.0007055,0.0007055
46,744.254,1.11165,1.85093,1.13651,0.84551,0.82182,0.85528,0.59208,1.09537,1.73492,1.10822,0.000693125,0.000693125,0.000693125
47,760.465,1.10164,1.8569,1.13588,0.81353,0.83734,0.86983,0.59321,1.15871,1.71014,1.12654,0.00068075,0.00068075,0.00068075
48,776.608,1.10857,1.9913,1.1325,0.86569,0.82515,0.88372,0.6059,1.13833,1.59506,1.12001,0.000668375,0.000668375,0.000668375
