epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3688,1.34685,12.197,0.00824,0.5004,0.57897,0.58054,0.3635,1.2483,4.1361,0.01167,0.000375,0.000375,0.000375
2,38.871,1.38131,4.70179,0.00833,0.81092,0.63293,0.6647,0.39324,1.43184,2.62539,0.01318,0.000754951,0.000754951,0.000754951
3,58.2351,1.3994,3.26678,0.0086,0.57394,0.63707,0.62599,0.39029,1.30127,2.52275,0.01231,0.00112723,0.00112723,0.00112723
4,77.2578,1.45593,2.94055,0.0088,0.58474,0.65215,0.61774,0.35408,1.53756,3.21125,0.01522,0.00121287,0.00121287,0.00121287
5,95.5225,1.50411,2.90577,0.00896,0.8507,0.66757,0.72734,0.40904,1.66262,2.46219,0.01564,0.0012005,0.0012005,0.0012005
6,114.798,1.42075,2.47014,0.00869,0.88665,0.74291,0.78301,0.48529,1.46763,2.12859,0.01376,0.00118812,0.00118812,0.00118812
7,133.621,1.47035,2.33861,0.00867,0.79887,0.70905,0.74458,0.46732,1.26232,1.97646,0.01194,0.00117575,0.00117575,0.00117575
8,152.063,1.33932,2.31234,0.00795,0.7199,0.73802,0.75076,0.48751,1.27997,2.01861,0.01182,0.00116337,0.00116337,0.00116337
9,171.118,1.33652,2.20497,0.00812,0.73407,0.83239,0.83328,0.52025,1.39377,3.5725,0.01318,0.001151,0.001151,0.001151
10,189.564,1.32499,2.1472,0.00786,0.72235,0.80968,0.82337,0.55947,1.20529,1.4987,0.01137,0.00113863,0.00113863,0.00113863
11,207.65,1.2854,2.16918,0.00784,0.80106,0.72515,0.82364,0.55755,1.12532,1.58286,0.01044,0.00112625,0.00112625,0.00112625
12,225.654,1.25705,1.99909,0.00761,0.72409,0.88634,0.84606,0.5618,1.16709,1.43822,0.01097,0.00111388,0.00111388,0.00111388
13,243.788,1.30845,2.0008,0.00809,0.92577,0.70497,0.76588,0.50843,1.20492,1.93098,0.01124,0.0011015,0.0011015,0.0011015
14,261.847,1.28191,1.99172,0.00749,0.76745,0.77477,0.80904,0.54963,1.14568,1.70833,0.01066,0.00108913,0.00108913,0.00108913
15,279.825,1.29491,1.89451,0.00766,0.74912,0.82823,0.85092,0.58493,1.16241,1.44098,0.01089,0.00107675,0.00107675,0.00107675
16,297.991,1.33648,2.15677,0.00779,0.73803,0.74674,0.81608,0.54272,1.1882,1.83117,0.01115,0.00106437,0.00106437,0.00106437
17,316.019,1.278,2.00375,0.00735,0.83834,0.76084,0.84166,0.54485,1.23845,1.68426,0.01145,0.001052,0.001052,0.001052
18,334.099,1.31549,1.89214,0.00779,0.86508,0.76213,0.84544,0.54431,1.26206,1.46618,0.01198,0.00103962,0.00103962,0.00103962
19,352.05,1.27662,1.84932,0.00756,0.84747,0.79111,0.86841,0.52267,1.53044,1.67676,0.01438,0.00102725,0.00102725,0.00102725
20,370.125,1.23355,1.69528,0.00742,0.7765,0.79764,0.84152,0.56693,1.15296,1.81896,0.01067,0.00101488,0.00101488,0.00101488
